Client,Symbol,Name,Sector,Quantity,Buy Price,Current Price,Market Value,Purchase Date,Dividend Yield,P/E Ratio,52-Week High,52-Week Low,Analyst Rating,Target Price,Risk Level
Client_1,DIA,SPDR Dow Jones Industrial Average ETF,ETF,135,264.89,574.42,77546.7,12/11/21,1.61,19.2,674.71,493.6,Hold,660.28,Medium
Client_1,GOOGL,Alphabet Inc.,Communication Services,45,93.66,1062.91,47830.95,11/23/21,2.62,23.06,1205.77,866.81,Hold,1077.25,Medium
Client_1,AMZN,Amazon.com Inc.,,175,412.66,1431.35,250486.25,1/13/21,4.85,17.01,1601.19,1155.29,Buy,1368.42,Low
Client_1,AAPL,Apple Inc.,Technology,48,991.77,524.13,25158.24,2/5/21,3.61,22.04,634.28,341.92,Buy,526.5,Low
Client_1,TSLA,Tesla Inc.,Consumer Discretionary,42,1425.88,449.75,18889.5,7/9/21,0.57,21.83,536.44,225.78,Buy,428.81,Low
Client_1,WMT,Walmart Inc.,Consumer Staples,80,427.29,533.24,42659.2,4/17/21,1.31,13.38,644.72,293.26,Hold,579.05,Low
Client_1,MSFT,Microsoft Corp.,Technology,53,1001.51,619.24,32819.72,8/6/21,4.75,6.44,761.68,576.05,Sell,605.12,High
Client_1,VOO,Vanguard S&P 500 ETF,ETF,190,272.59,795.49,151143.1,4/9/21,0.43,15.95,999.82,406.42,Buy,948.16,High
Client_1,JNJ,Johnson & Johnson,Health Care,117,1244.65,838.63,98119.71,2/25/21,2.7,23.5,1156.73,432.95,Buy,809.6,Medium
Client_1,FB,Meta Platforms Inc.,Communication Services,117,1098.43,1403.1,164162.7,3/22/21,1.47,15.72,1807.78,1246.49,Buy,1523.1,Medium
Client_1,BRK.A,Berkshire Hathaway Inc.,Financials,140,720.16,817.42,114438.8,11/25/21,4.94,10.6,1168.74,665.37,Sell,795.6,Medium
Client_1,IVV,iShares Core S&P 500 ETF,ETF,92,867.81,226.03,20794.76,10/25/21,1.24,14.36,325.73,124.97,Buy,259.03,Medium
Client_1,SPY,SPDR S&P 500 ETF,ETF,42,1351.24,225.71,9479.82,3/5/21,0.51,18.54,243.28,187.31,Hold,204.59,High
Client_1,QQQ,Invesco QQQ Trust,ETF,69,541.24,568.56,39230.64,5/3/21,0.36,14.81,841.82,311.98,Sell,631.31,Low
Client_1,V,Visa Inc.,Financials,121,1278.11,1231.68,149033.28,8/18/21,2.42,7.51,1370.87,991.83,Buy,1266.63,High
Client_2,FB,Meta Platforms Inc.,Communication Services,116,1346.21,362.21,42016.36,3/11/21,2.8,23.89,403.27,240.16,Buy,370.07,Low
Cliunt_2,IVV,iShares Core S&P 500 ETF,ETF,181,307.27,1118.16,202386.96,6/15/21,3.64,19.76,1216.79,743.74,Buy,1112.25,Low
Client_2,TSLA,Tesla Inc.,Consumer Discretionary,148,70.38,71.81,10627.88,11/20/21,2.8,27.84,97.54,63.93,Sell,70.15,High
Client_2,MSFT,Microsoft Corp.,Technology,90,938.7,1204.22,108379.8,,2.01,6.72,1355.17,1034.47,Sell,1219.47,High
Client_2,JNJ,Johnson & Johnson,Health Care,106,1221.38,548.71,58163.26,4/10/21,3.28,25.99,636.39,548.67,Buy,550.22,Low
Client_2,QQQ,Invesco QQQ Trust,ETF,15,736.6,432.15,6482.25,12/20/21,4.91,24.06,465.94,234.94,Buy,457.36,Low
Client_2,AAPL,Apple Inc.,Technology,195,1113.52,927.15,180794.25,8/24/21,4.14,26.93,1218.99,712.73,Buy,1060.98,Medium
Client_2,,SPDR Dow Jones Industrial Average ETF,ETF,106,371.17,1026.94,108855.64,7/2/21,3.85,24.79,1087.55,523.72,Sell,1170.25,Medium
Client_2,GOOGL,Alphabet Inc.,Communication Services,71,52.39,481.81,34208.51,4/19/21,2.02,17.78,586.76,274.35,Buy,518.3,High
Client_2,AMZN,Amazon.com Inc.,Consumer Discretionary,149,905.01,1478.14,220242.86,1/25/21,2.63,16.36,1788.58,1150.36,Hold,1480.52,High
Client_2,SPY,SPDR S&P 500 ETF,ETF,31,1026.73,1299.6,40287.6,6/19/21,4.45,10.78,1477.77,1272.11,Buy,1522.46,Low
Clpent_2,VOO,Vanguard S&P 500 ETF,ETF,148,86.33,1141.92,169004.16,8/3/21,4.46,23.46,1362.35,1026.14,Sell,1180.02,Low
Client_2,BRK.A,Berkshire Hathaway Inc.,Financials,80,1251.4,71.3,5704,10/19/21,0.29,14.61,102.31,44.23,Hold,68.92,High
Client_2,WMT,Walmart Inc.,Consumer Staples,185,629.83,1409.62,260779.7,6/22/21,1.52,24.66,1565.53,887.81,Buy,1304.63,Low
Client_2,V,Visa Inc.,Financials,185,978.89,479.99,88798.15,1/15/21,1.67,8.3,575.41,304.94,Sell,438.03,Medium
Client_3,GOOGL,Alphabet Inc.,Communication Services,105,353.94,843.63,88581.15,1/8/21,4.67,24.55,1058.55,504.5,Hold,851.78,Medium
Client_3,WMT,Walmart Inc.,Consumer Staples,94,710.33,1427.09,134146.46,12/18/21,2.17,23.12,1751.77,1214.29,Buy,1296.94,Medium
Client_3,IVV,iShares Core S&P 500 ETF,ETF,90,1334.84,146.58,13192.2,12/9/21,3.73,29.93,215.92,145.88,Sell,155.59,High
Client_3,BRK.A,Berkshire Hathaway Inc.,Financials,152,917.71,1292.95,196528.4,5/6/21,2.59,7.67,1768.9,1106.44,Hold,1384.44,High
Client_3,SPY,SPDR S&P 500 ETF,ETF,52,1356.04,587.4,30544.8,7/26/21,2.48,5.85,669.96,508.88,Sell,593.11,Medium
Client_3,AMZN,Amazon.com Inc.,Consumer Discretionary,29,458.61,1181.67,34268.43,1/7/21,2.24,17.29,1248.19,1166.54,Sell,1290.85,Low
Client_3,AAPL,Apple Inc.,Technology,119,1494.83,585.55,69680.45,1/27/21,2.02,25.44,862.76,473.79,Hold,,Low
Client_3,V,Visa Inc.,Financials,73,1200.98,1222.84,89267.32,6/12/21,3.69,19.85,1669.93,1055.93,Buy,1452.14,Medium
Client_3,DIA,SPDR Dow Jones Industrial Average ETF,ETF,164,619.24,514.62,84397.68,9/2/21,1.33,22.14,533.85,502.9,Buy,478.07,Medium
Client_3,JNJ,Johnson & Johnson,Health Care,49,1355.19,608.44,29813.56,2/24/21,1.89,12.75,816.46,601.81,Buy,586.48,Low
Client_3,TSLA,Tesla Inc.,Consumer Discretionary,66,250.65,1249.08,82439.28,12/24/21,1.39,19.93,1317.45,694.14,Hold,1156.85,Medium
Cliint_3,FB,Meta Platforms Inc.,Communication Services,114,81.63,1010.69,115218.66,11/26/21,4.75,28.67,1174,840.74,Buy,925.63,Low
Client_3,MSFT,Microsoft Corp.,Technology,172,374.61,1461.95,251455.4,2/19/21,2.76,12.43,1992.19,1056.92,Sell,1625.78,Medium
Client_3,VOO,Vanguard S&P 500 ETF,ETF,69,945.74,1298.57,89601.33,5/23/21,3.33,20.39,1701.17,1226.03,Hold,1279.97,Low
Client_3,QQQ,Invesco QQQ Trust,ETF,159,577.07,163.03,25921.77,4/18/21,0.83,20.66,241.72,134.77,Hold,148.52,High
Client_4,QQQ,Invesco QQQ Trust,ETF,30,1491.01,763.55,22906.5,12/10/21,1.24,19.68,1019.95,753.8,Hold,815.75,Low
Client_4,FB,Meta Platforms Inc.,Communication Services,63,171.05,1227.51,77333.13,11/4/21,2.46,14.2,1588.87,875.48,Hold,1187.07,Medium
Client_4,BRK.A,Berkshire Hathaway Inc.,Financials,121,136.22,1140.52,138002.92,4/13/21,2.04,24.31,1382.62,1081.58,Buy,1210.09,High
Client_4,V,Visa Inc.,Financials,161,544.09,994.77,160157.97,12/17/21,2.71,16.22,1287.7,851.92,Buy,911.8,Low
Client_4,AAPL,Apple Inc.,Technology,70,551.69,669.69,46878.3,9/14/21,1,21.02,809.7,379.94,Hold,654.77,Medium
Client_4,GOOGL,Alphabet Inc.,Communication Services,15,515.69,350.61,5259.15,10/14/21,0.22,12.32,388.81,227.95,Buy,395.56,Low
Client_4,IVV,iShares Core S&P 500 ETF,ETF,44,96.93,424.82,18692.08,3/8/21,0.04,23.05,471,354.67,Sell,497.61,Low
Client_4,AMZN,Amazon.com Inc.,Consumer Discretionary,157,969.6,205.76,32304.32,3/14/21,4.35,29.03,254.13,154.28,Hold,201.57,Low
Client_4,WMT,Walmart Inc.,Consumer Staples,20,930.11,579.22,11584.4,5/26/21,3.66,21.08,721.23,535.63,Hold,658.07,Medium
Client_4,JNJ,Johnson & Johnson,Health Care,61,1115.01,154.98,9453.78,11/16/21,0.93,24.84,177.33,102.97,Hold,179.58,Medium
Client_4,TSLA,Tesla Inc.,Consumer Discretionary,22,323.99,285.96,6291.12,6/15/21,1.15,21.71,328.1,221.78,Hold,318.94,Medium
Client_4,SPY,SPDR S&P 500 ETF,ETF,170,1491.2,627.97,106754.9,4/6/21,1.28,25.44,804.98,624.63,Hold,701.26,Medium
Client_4,MSFT,Microsoft Corp.,Technology,72,1088.88,781.95,56300.4,5/23/21,1.21,17.42,914.73,498.19,Buy,900.31,Low
Client_4,DIA,SPDR Dow Jones Industrial Average ETF,ETF,121,280.22,326.38,39491.98,1/5/21,1.33,27.57,,192.1,Sell,297.66,Low
Client_4,VOO,Vanguard S&P 500 ETF,ETF,56,506.62,1441.04,80698.24,10/16/21,3.8,19.33,1765.02,1202.05,Hold,1376.13,High
Client_5,BRK.A,Berkshire Hathaway Inc.,Financials,151,212.82,1432.41,216293.91,3/5/21,2.29,24.96,1528.32,742.82,Sell,1500.69,Medium
Client_5,AAPL,Apple Inc.,Technology,168,598.92,853.07,143315.76,12/27/21,4.64,22.24,899.92,503.99,Sell,981.82,Medium
Client_5,MSFT,Microsoft Corp.,Technology,64,1064.06,1096.54,70178.56,4/16/21,2.96,27.13,1273.12,684.57,Hold,1160.48,Medium
Client_5,SPY,SPDR S&P 500 ETF,ETF,167,1305.53,1190.93,198885.31,9/24/21,0.1,23.73,1704.82,901.13,Hold,1268.9,High
Client_5,TSLA,Tesla Inc.,Consumer Discretionary,167,1293.02,1090.78,182160.26,12/18/21,4,27.95,1229.09,747.45,Buy,992.96,High
Client_5,QQQ,Invesco QQQ Trust,ETF,156,1237.36,182.18,28420.08,9/10/21,3.7,6.22,236.79,112.03,Sell,165.35,Medium
Client_5,FB,Meta Platforms Inc.,Communication Services,55,280.23,544.12,29926.6,4/4/21,4.56,26.81,689.46,454.34,Buy,572.22,Low
